Variable,D1,D2,meta_indicatorid
Población de 15 años y más,Población económicamente activa (PEA),Total,444557
Población de 15 años y más,Población no económicamente activa (PNEA),Total,444558
Población económicamente activa,Población ocupada,Total,444559
Población económicamente activa,Población desocupada,Total,444560
Población ocupada,Por nivel de instrucción,Primaria incompleta,444561
Población ocupada,Por nivel de instrucción,Con primaria completa,444562
Población ocupada,Por nivel de instrucción,Con secundaria completa,444563
Población ocupada,Por nivel de instrucción,Medio superior y superior,444564
Población ocupada,Por nivel de instrucción,No especificado,444565
Población ocupada,Por posición en la ocupación,Trabajadores subordinados y remunerados,444566
Población ocupada,Por posición en la ocupación,Empleadores,444567
Población ocupada,Por posición en la ocupación,Trabajadores por cuenta propia,444568
Población ocupada,Por posición en la ocupación,Trabajadores no remunerados,444569
Población ocupada,Por posición en la ocupación,No especificado,444570
Población ocupada,Por sector de actividad económica,Total,668906
Población ocupada,Por sector de actividad económica,"Primario (agricultura, ganadería, silvicultura, caza y pesca)",668907
Población ocupada,Por sector de actividad económica,No especificado,668920
Población desocupada,Por nivel de instrucción,Primaria incompleta,444578
Población desocupada,Por nivel de instrucción,Con primaria completa,444579
Población desocupada,Por nivel de instrucción,Con secundaria completa,444580
Población desocupada,Por nivel de instrucción,Medio superior y superior,444581
Población desocupada,Por nivel de instrucción,No especificado,444582
Población desocupada,Por antecedentes laborales,Con experiencia,444583
Población desocupada,Por antecedentes laborales,Sin experiencia,444584
Población subocupada,Por nivel de instrucción,Primaria incompleta,444585
Población subocupada,Por nivel de instrucción,Con primaria completa,444586
Población subocupada,Por nivel de instrucción,Con secundaria completa,444587
Población subocupada,Por nivel de instrucción,Medio superior y superior,444588
Población subocupada,Por nivel de instrucción,No especificado,444589
Población subocupada,Por posición en la ocupación,Trabajadores subordinados y remunerados,444590
Población subocupada,Por posición en la ocupación,Empleadores,444591
Población subocupada,Por posición en la ocupación,Trabajadores por cuenta propia,444592
Población subocupada,Por posición en la ocupación,Trabajadores no remunerados,444593
Población subocupada,Por posición en la ocupación,No especificado,444594
Población subocupada,Por sector de actividad económica,Total,668936
Población subocupada,Por sector de actividad económica,"Primario (agricultura, ganadería, silvicultura, caza y pesca)",668937
Población subocupada,Por sector de actividad económica,No especificado,668950
Población total,Total,Total,289242
Población de 15 años y más,Total,Total,289243
Población ocupada por sector,Total,Total,289250
Población ocupada por sector,Total,Primario,289251
Población ocupada por sector,Total,Secundario,289252
Población ocupada por sector,Total,Terciario,289253
Población ocupada por sector,Total,No especificado,289254
Población ocupada por duración jornada,Total,Total,289255
Población ocupada por duración jornada,Total,Ausentes temporales con vínculo laboral,289256
Población ocupada por duración jornada,Total,Menos de 15 horas,289257
Población ocupada por duración jornada,Total,De 15 a 34 horas,289258
Población ocupada por duración jornada,Total,De 35 a 48 horas,289259
Población ocupada por duración jornada,Total,Más de 48 horas,289260
Población ocupada por duración jornada,Total,No especificado,289261
Población ocupada por ámbito,Total,Total,289262
Población ocupada por ámbito,Total,Ámbito agropecuario,289263
Población ocupada por ámbito,Total,No especificado,289271
Población ocupada por posición,Total,Total,289272
Población ocupada por posición,Total,Trabajadores subordinados remunerados,289273
Población ocupada por posición,Total,Empleadores,289274
Población ocupada por posición,Total,Trabajadores por cuenta propia,289275
Población ocupada por posición,Total,Trabajadores no remunerados,289276
Población ocupada por posición,Total,No especificado,289277
Población subocupada por posición,Total,Total,289278
Población subocupada por posición,Total,Trabajadores subordinados remunerados,289279
