Variable,D1,D2,meta_indicatorid
Población ocupada,Por nivel de instrucción,Primaria incompleta,444561
Población ocupada,Por nivel de instrucción,Con primaria completa,444562
Población ocupada,Por nivel de instrucción,Con secundaria completa,444563
Población ocupada,Por nivel de instrucción,Medio superior y superior,444564
Población ocupada,Por nivel de instrucción,No especificado,444565
Población ocupada,Por posición en la ocupación,Trabajadores subordinados y remunerados,444566
Población ocupada,Por posición en la ocupación,Empleadores,444567
Población ocupada,Por posición en la ocupación,Trabajadores por cuenta propia,444568
Población ocupada,Por posición en la ocupación,Trabajadores no remunerados,444569
Población ocupada,Por posición en la ocupación,No especificado,444570
Población desocupada,Por nivel de instrucción,Primaria incompleta,444578
Población desocupada,Por nivel de instrucción,Con primaria completa,444579
Población desocupada,Por nivel de instrucción,Con secundaria completa,444580
Población desocupada,Por nivel de instrucción,Medio superior y superior,444581
Población desocupada,Por nivel de instrucción,No especificado,444582
